icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration,z_score_max,zscore_anomaly,turning_anomaly
a3b3df,1798.32,1813.56,1812.8042975206613,139.81,153.0,150.9014049586777,0.0300999999999973,0.1101999999999918,3592.0,1.9502084626237892,False,False
a3b414,11277.6,11277.6,11277.6,256.94,256.94,256.93999999999994,0.0086999999999974,0.0323999999999955,2672.0,0.9711759938844935,False,False
a3b4b5,10622.28,10683.24,10647.72305084746,255.9,257.04,256.53169491525426,0.0159999999999982,0.061000000000007,3079.0,0.9517632884922165,False,False
a3b4c8,4046.22,9136.38,5584.850399999999,206.63,227.13,212.3688,3.5473,7.774200000000007,2867.0,1.6381631876211333,False,True
a3b4d6,7452.36,7917.18,7695.430303030301,219.06,221.54,220.6354545454545,0.0269000000000048,0.0827000000000026,3236.0,0.9069538164540285,False,False
a3b50f,10668.0,10972.8,10871.2,220.68,251.53,230.96333333333325,7.203000000000003,16.2843,338.0,3.785364743166702,True,True
a3b529,11277.6,11277.6,11277.600000000006,257.28,259.03,258.01908163265296,0.0247000000000028,0.1307999999999936,3169.0,0.9775224552627375,False,True
a3b557,8808.72,8808.72,8808.72,227.86,227.86,227.86,0.0,0.0,17.0,1.6098897365017601,False,False
a3b796,6096.0,6560.82,6248.638125,226.76,231.09,227.66421874999995,0.1829999999999998,0.0922999999999945,3592.0,1.185299981366194,False,True
a3b7cb,9144.0,11079.48,9509.431551724138,235.09,239.33,238.2881034482758,6.691099999999995,2.494199999999992,3592.0,2.931373967191576,False,True
a3b7d1,6286.5,7200.9,6530.826382978721,199.1,207.98,202.11212765957447,0.0324000000000026,0.2291999999999916,3592.0,1.185299981366194,False,False
a3b87f,10355.58,10355.58,10355.58,238.23,238.23,238.23,0.0,0.0,17.0,1.6098897365017601,False,False
a3b88e,9326.88,9555.48,9429.36471910112,253.63,254.3,253.96404494382023,0.0345999999999975,0.1019000000000005,3206.0,0.909391325760996,False,False
a3b8f5,11277.6,11277.6,11277.6,236.72,236.72,236.72,0.0,0.0,17.0,1.6098897365017601,False,False
a3bda6,3703.32,3741.42,3716.02,156.01,156.63,156.21666666666667,0.0013999999999967,0.0087000000000045,140.0,1.5137195727821073,False,False
a3be7c,10363.2,10363.2,10363.2,237.61,238.04,237.6444,0.072499999999998,0.1269999999999953,2867.0,0.6575114101997741,False,True
a3be8f,10668.0,10683.24,10674.927272727273,221.74,256.12,254.415,0.0497999999999976,0.1244999999999976,2884.0,0.9031440514021557,False,True
a3c192,8717.28,9113.52,8932.756666666664,185.2,188.13,187.17500000000004,0.0733999999999994,0.1007000000000033,2867.0,0.6184433252950704,False,True
a3c233,655.32,655.32,655.32,102.38,102.38,102.38,0.0,0.0,109.0,2.355078162166178,False,False
a3c246,2065.02,2880.36,2471.997272727273,142.66,158.1,146.94636363636366,0.0752000000000023,0.0464000000000055,2884.0,1.6424936744272265,False,True
a3c291,10668.0,10668.0,10668.0,228.56,228.56,228.56,0.0,0.0,233.0,1.4410055465550529,False,False
a3c3e6,11277.6,11277.6,11277.600000000002,252.96,253.04,252.9636363636364,0.0191999999999978,0.1816000000000031,2884.0,0.9037946462231403,False,True
a3c514,6195.06,6286.5,6254.247906976743,188.33,190.39,189.4574418604651,0.0003000000000028,0.0238999999999975,2654.0,0.6529858501763367,False,False
a3c549,10363.2,10363.2,10363.2,212.86,212.86,212.86000000000004,0.0,0.0,233.0,1.4410055465550529,False,False
a3c662,10355.58,10355.58,10355.58,247.17,247.17,247.17,0.0,0.0,109.0,1.5379575815244588,False,False
a3c68c,297.18,312.42,299.8304347826088,70.28,70.28,70.27999999999999,0.0018000000000029,0.0026000000000001,386.0,3.027468896707409,True,False
a3c775,10972.8,10972.8,10972.8,234.53,237.01,236.5127272727273,0.1197999999999979,0.3563000000000045,3592.0,1.185299981366194,False,True
a3c8cb,9601.2,10218.42,9781.478048780487,233.36,237.72,236.93292682926835,0.1388999999999995,0.1935000000000002,3592.0,1.185299981366194,False,False
a3c9a1,11277.6,11277.6,11277.600000000002,268.79,268.79,268.79,0.0028999999999967,0.0197000000000002,1027.0,1.1965676798215552,False,False
a3c9b4,10370.82,10370.82,10370.820000000002,225.82,225.82,225.82,0.0,0.0,192.0,1.4730622677949372,False,False
a3ca01,8907.78,9121.14,9028.4808,228.23,230.38,229.2224,0.0054999999999978,0.1133999999999986,2867.0,0.6184433252950704,False,True
a3ca43,1699.26,2087.88,1959.640975609756,132.2,141.24,138.5429268292683,0.0095000000000027,0.1411000000000086,3289.0,1.8706513688450697,False,False
a3cc82,9753.6,9753.6,9753.600000000002,213.16,213.16,213.15999999999997,0.0001999999999995,0.0079999999999955,368.0,1.335452927838361,False,False
a3ccb7,11574.78,11574.78,11574.78,238.04,238.04,238.04,0.0,0.0,17.0,1.6098897365017601,False,False
a3cd58,10972.8,10980.42,10974.592941176472,248.82,249.55,249.15227941176465,0.2066000000000016,0.252200000000002,3592.0,1.185299981366194,False,True
a3cd6b,11277.6,11277.6,11277.6,230.13,230.13,230.13,0.0,0.0,17.0,1.6098897365017601,False,False
a3cd7d,10668.0,10668.0,10668.0,257.85,258.15,258.1438775510204,0.0234999999999985,0.0384000000000099,1519.0,0.9881621111027364,False,False
a3cf4f,10972.8,10972.8,10972.8,238.22,238.71,238.3847916666667,0.0241000000000006,0.0698000000000007,3254.0,0.9210274989495875,False,True
a3cf6d,9029.7,9281.16,9153.86117647059,239.53,241.64,240.3164705882353,0.0174999999999982,0.1277000000000043,2884.0,0.6461998391926231,False,True
a3d074,13716.0,13716.0,13716.0,218.73,219.26,219.20952380952372,0.0792999999999963,0.002900000000011,2865.0,1.562241045718777,False,True
a3d122,6050.28,6400.8,6096.000000000002,205.98,209.42,206.28857142857143,0.0884999999999962,0.0498999999999938,812.0,0.9883020929479074,False,False
a3d3f0,2453.64,10675.62,8183.517142857145,119.28,254.26,202.64809523809527,7.197900000000004,14.9362,2706.0,3.4452227451841884,True,False
a3d4ed,10363.2,10363.2,10363.2,245.53,245.53,245.53000000000003,0.0,0.0,300.0,1.3886201728215837,False,False
a3d7a7,10965.18,10965.18,10965.179999999997,237.24,237.24,237.23999999999992,0.0,0.0,233.0,1.4410055465550529,False,False
a3d890,6941.82,7437.12,7154.764363636362,225.31,228.67,226.229,0.1762999999999976,0.0330999999999903,3592.0,1.185299981366194,False,True
a3db5e,10363.2,10363.2,10363.199999999995,217.11,217.58,217.46467391304355,0.0232000000000027,0.0700999999999965,2570.0,0.6575114101997741,False,False
a3db93,160.02,160.02,160.02,46.31,46.31,46.31,0.0,0.0,52.0,3.5295625386685714,True,False
a3dc34,10660.38,10660.38,10660.38,235.04,235.57,235.28875,0.0056999999999973,0.0049000000000063,318.0,1.3745464903260247,False,False
a3dc5a,7162.8,7178.04,7169.9717647058815,221.77,221.77,221.77000000000004,0.0011999999999972,0.0069999999999907,1225.0,0.6653892667998053,False,False
a3df4a,11269.98,11277.6,11276.9904,227.73,228.85,228.2512,0.0268000000000014,0.1214999999999975,2867.0,0.9017422859229454,False,True
a3dfeb,5897.88,10683.24,7966.862400000001,175.93,227.91,219.1368,16.5489,2.194999999999993,2867.0,7.748325650796695,True,False
a3dffe,10058.4,10066.02,10062.21,233.49,233.49,233.49,0.0127000000000023,0.0010999999999938,178.0,1.4840084652914831,False,False
a3e08d,8839.2,8846.82,8846.2104,259.93,261.82,261.1796,0.0420999999999978,0.1661000000000001,2867.0,1.0412235976147377,False,True
a3e5fa,1051.56,9448.8,4153.0905,98.26,233.18,165.38675000000003,3.947099999999999,4.188500000000005,3592.0,1.9907548634679475,False,True
a3e69d,320.04,495.3,417.6091304347826,71.51,88.54,81.22923913043478,0.000399999999999,0.0334999999999894,3151.0,2.6449812078375374,False,False
a3e8dc,5829.3,5852.16,5836.205625,217.86,218.2,217.945,0.0027000000000043,0.011800000000008,859.0,0.9515541442095035,False,False
