icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration
3c6595,9113.52,9144.0,9142.26818181818,229.36,230.07,229.73045454545448,0.07290000000000418,0.07459999999999933,2884.0
3c65a1,7490.46,12192.0,9985.932244897958,229.25,230.23,229.51408163265307,4.2834999999999965,6.924500000000009,3202.0
3c65ab,7993.38,8092.44,8045.450000000001,250.27,253.51,252.2561111111111,0.0251000000000019,0.07580000000000098,2093.0
3c65c2,11277.6,11277.6,11277.599999999995,264.64,264.64,264.64000000000004,0.010500000000000398,0.0026999999999999247,842.0
3c65c5,11269.98,11285.22,11271.808799999999,234.59,237.08,236.33239999999998,5.348300000000002,8.846899999999998,2867.0
3c65ce,10972.8,10972.8,10972.799999999997,219.16,219.51,219.29125,0.09900000000000375,0.12409999999999854,2762.0
3c65d0,9555.48,9852.66,9743.901818181817,203.77,206.88,206.06590909090917,0.10829999999999984,0.03850000000000087,2884.0
3c6634,1539.24,2506.98,2157.6792,137.78,143.4,141.342,0.04820000000000135,0.0860000000000003,2867.0
3c664e,10980.42,10980.42,10980.42,270.33,270.33,270.33,0.0,0.0,109.0
3c6650,7147.56,7269.48,7165.974999999999,224.3,225.01,224.41833333333338,0.020899999999997476,0.04870000000000019,2793.0
3c6658,10363.2,10363.2,10363.2,235.65,235.65,235.65000000000003,0.005900000000004013,0.00019999999999953388,268.0
3c6667,10668.0,10668.0,10668.0,234.65,235.02,234.99153846153845,0.009399999999999409,0.014599999999999724,286.0
3c6669,8001.0,8260.08,8130.539999999997,205.28,207.64,206.38454545454545,0.0045000000000001705,0.12919999999999998,2884.0
3c666a,10050.78,10050.78,10050.78,263.37,263.71,263.48333333333335,0.03889999999999816,0.0668,2706.0
3c6670,5113.02,10370.82,9952.024800000001,198.22,238.04,214.1692,2.5260000000000034,0.3611000000000004,2867.0
3c6672,10050.78,10058.4,10057.707272727272,188.01,189.42,188.67136363636362,0.06499999999999773,0.05320000000000036,2884.0
3c6678,4381.5,4968.24,4579.0104,163.66,168.58,165.444,0.028200000000005332,0.1413000000000002,2867.0
3c66a4,4693.92,4693.92,4693.92,174.77,174.77,174.77,0.0,0.0,127.0
3c66b3,198.12,198.12,198.12000000000003,73.1,73.1,73.10000000000001,0.0,0.0,109.0
3c66b5,1684.02,1684.02,1684.02,143.63,143.63,143.63,0.0,0.0,0.0
3c6702,11277.6,11277.6,11277.600000000002,267.26,267.64,267.4004761904763,0.07629999999999626,0.12170000000000059,2884.0
3c6705,11582.4,11582.4,11582.399999999992,268.11,268.6,268.44923076923067,0.04930000000000234,0.1681999999999988,3592.0
3c6707,11277.6,11277.6,11277.6,284.66,286.75,285.4704081632653,2.518799999999999,10.554200000000002,2739.0
3c6708,11277.6,11285.22,11282.838749999999,280.87,284.79,282.589375,0.06349999999999767,0.20960000000000178,2867.0
3c670a,12496.8,12496.8,12496.799999999996,256.29,256.94,256.486,0.05519999999999925,0.1869999999999834,1217.0
3c670d,11277.6,11277.6,11277.600000000004,275.26,277.57,276.485785123967,3.901599999999995,13.294000000000011,3592.0
3c670f,11582.4,11582.4,11582.4,265.05,265.05,265.05,0.0,0.0,17.0
3c6711,4663.44,11117.58,10170.261600000002,198.55,273.61,252.59560000000002,3.291400000000003,9.660400000000001,2867.0
3c6714,12192.0,12192.0,12192.0,223.65,223.88,223.71133333333336,0.0022999999999981924,0.0062999999999959755,368.0
3c6744,9448.8,9509.76,9453.0672,209.85,213.25,212.5452,0.07980000000000587,0.11749999999999972,2867.0
3c6746,7307.58,7315.2,7314.1609090909105,199.86,204.52,202.47636363636357,0.010799999999996146,0.14800000000000058,2884.0
3c674d,10050.78,10073.64,10067.8488,186.16,192.03,189.8664,0.07979999999999876,0.0895999999999999,2867.0
3c674f,9448.8,9456.42,9449.14636363636,199.84,200.96,200.51227272727274,0.04959999999999809,0.08660000000000023,2884.0
3c70aa,7513.32,8039.1,7681.569600000001,212.99,217.85,214.48800000000003,0.1396000000000015,0.05339999999999989,2867.0
3c70b1,11582.4,11582.4,11582.399999999994,226.26,226.63,226.60104347826092,0.0671999999999997,0.0990000000000002,3342.0
3c70b3,7962.9,8717.28,8136.98769230769,210.47,217.66,212.12923076923073,0.003700000000002035,0.26369999999999827,986.0
3c70b5,739.14,914.4,898.7496923076922,88.4,130.95,114.02753846153846,0.042300000000004445,0.1717999999999993,3592.0
3c70c3,11887.2,11887.2,11887.2,272.3,272.62,272.5953846153846,0.023099999999999454,0.0411999999999999,286.0
3c787a,11269.98,11277.6,11271.365454545457,226.84,227.91,227.455,0.06880000000000308,0.10010000000000119,2884.0
3c79ba,10355.58,10363.2,10359.2376,284.65,285.23,285.0868,0.15370000000000061,0.027600000000000513,2867.0
3c79c1,10668.0,10675.62,10673.306785714287,255.97,256.15,256.0551785714286,0.027700000000002944,0.04349999999999454,2430.0
3c7a43,12092.94,12192.0,12179.6175,231.53,235.92,233.38875,0.11780000000000257,0.0905999999999949,2762.0
3c7a46,8968.74,9136.38,9029.569743589744,257.77,263.08,258.78333333333336,0.07269999999999754,0.2504999999999882,3592.0
3c7a4c,6850.38,6987.54,6905.534285714286,214.64,216.11,215.23428571428568,0.04469999999999885,0.06589999999999918,2793.0
3c7a54,10706.1,10888.98,10770.87,243.04,244.77,243.72124999999997,0.14780000000000015,0.061800000000005184,2762.0
4005b9,12192.0,12192.0,12192.0,232.55,232.55,232.55000000000007,0.0,0.0,192.0
4005ba,11582.4,11582.4,11582.4,236.42,236.42,236.42,0.0069000000000016826,0.02169999999999561,1788.0
4005bd,10972.8,10972.8,10972.8,235.46,235.46,235.46,0.0,0.0,56.0
4005c1,3497.58,3596.64,3563.1782608695635,153.72,154.59,153.97695652173917,0.011299999999998533,0.02599999999999625,1748.0
40066c,7117.08,7246.62,7185.348979591836,227.36,228.81,228.3648979591837,0.02680000000000149,0.04359999999999964,3254.0
400683,11582.4,11582.4,11582.399999999994,244.97,245.36,245.23462264150953,0.07120000000000459,0.07659999999999911,3342.0
4006c0,3291.84,11277.6,3806.671724137931,166.92,260.17,177.07149425287358,1.410899999999998,11.5099,3237.0
4006c4,10972.8,10972.8,10972.8,239.74,239.74,239.73999999999992,0.0,0.0,268.0
4006eb,10363.2,10363.2,10363.2,214.96,214.96,214.96,0.0,0.0,17.0
40072b,10066.02,10066.02,10066.019999999999,260.31,260.83,260.4338095238095,0.05819999999999936,0.00039999999999995595,2706.0
400771,10668.0,11277.6,10824.92673267327,245.82,257.04,248.93059405940596,5.514800000000001,4.875299999999996,3206.0
400773,213.36,11277.6,2691.4257534246576,87.61,272.09,129.6021917808219,3.228100000000005,6.062600000000003,3079.0
400775,6766.56,6934.2,6798.243157894737,215.59,215.59,215.59,0.03169999999999895,0.011499999999998067,2671.0
4007f0,11209.02,11582.4,11483.052452830188,228.73,236.1,230.76188679245286,3.4640000000000057,7.091700000000003,3592.0
4007f3,11887.2,11887.2,11887.200000000004,245.29,245.75,245.67,0.0033999999999991815,0.0016999999999995907,386.0
4007f6,10668.0,10668.0,10668.0,264.53,264.8,264.57909090909084,0.05250000000000199,0.19129999999999825,2884.0
4008ad,3749.04,3749.04,3749.04,139.74,139.74,139.74,0.0,0.0,17.0
4008b1,9753.6,9753.6,9753.600000000002,205.09,205.77,205.12400000000002,0.04719999999999658,0.03600000000000003,2847.0
400942,1607.82,2125.98,1962.4963636363632,114.88,122.01,116.04909090909092,0.052599999999998204,0.038,2884.0
40097c,3352.8,3642.36,3548.1767999999997,197.57,201.47,198.56080000000003,0.016899999999999693,0.1693,2867.0
40097e,10965.18,10972.8,10967.258181818179,214.94,246.68,225.12409090909094,0.06820000000000448,0.08160000000000167,2884.0
4009c7,10652.76,10675.62,10667.3904,217.36,223.04,218.1848,0.005700000000004479,0.19140000000000157,2867.0
4009d8,68.58,9288.78,1153.1600000000003,71.51,252.97,91.82055555555556,1.556199999999997,7.9335,2867.0
4009db,10957.56,10957.56,10957.56,234.99,236.35,235.35818181818175,0.08750000000000568,0.056900000000000006,2884.0
4009f9,11574.78,11582.4,11580.02655737705,231.25,231.95,231.66475409836065,0.0344999999999942,0.028399999999999537,2659.0
400a26,10972.8,11582.4,11432.222500000002,229.66,268.12,245.23333333333335,9.417099999999998,20.824399999999997,2762.0
400a7c,11269.98,11277.6,11273.62434782609,205.37,205.8,205.6143478260869,0.07130000000000081,0.07899999999999974,2830.0
400afb,10363.2,10378.44,10370.2104,204.38,208.45,205.468,0.14299999999999358,0.05090000000000039,2867.0
400afd,10393.68,10584.18,10506.24818181818,230.22,234.44,232.4318181818182,0.06449999999999534,0.047099999999999476,2884.0
400b83,10523.22,10797.54,10625.023199999998,252.58,256.0,253.0528,0.10390000000000299,0.11840000000000028,2867.0
400cd8,11277.6,11277.6,11277.600000000002,277.63,278.26,277.6666666666667,0.09669999999999845,0.03810000000000002,2865.0
400ceb,10980.42,10988.04,10981.798085106386,245.84,246.13,246.07755319148944,0.02499999999999858,0.13510000000000133,3169.0
400dae,4328.16,4396.74,4378.6425,198.77,199.22,199.10750000000002,0.007500000000000284,0.007399999999999629,859.0
400db2,5638.8,5715.0,5671.331538461538,190.99,191.73,191.28230769230765,0.002899999999996794,0.022499999999999964,1788.0
400e4a,586.74,845.82,740.3960439560442,85.24,89.66,87.93087912087911,0.027999999999998693,0.05819999999999981,3151.0
