icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration,PCA1,PCA2,kmeans_cluster
3c674d,10050.78,10073.64,10067.8488,186.16,192.03,189.8664,0.0797999999999987,0.0895999999999999,2867.0,-0.13544619010123085,-0.18458136166411548,2
3c674f,9448.8,9456.42,9449.14636363636,199.84,200.96,200.51227272727277,0.049599999999998,0.0866000000000002,2884.0,-0.19178455809243328,-0.20701643228750574,2
3c70aa,7513.32,8039.1,7681.569600000001,212.99,217.85,214.48800000000003,0.1396000000000015,0.0533999999999998,2867.0,0.03465354928086865,-0.161416886946427,2
3c70b1,11582.4,11582.4,11582.399999999994,226.26,226.63,226.6010434782609,0.0671999999999997,0.0990000000000002,3342.0,-1.5806801075473915,-0.1499085269926379,2
3c70b3,7962.9,8717.28,8136.98769230769,210.47,217.66,212.12923076923076,0.003700000000002,0.2636999999999982,986.0,-0.03119510470536196,-0.6936800506630616,2
3c70b5,739.14,914.4,898.7496923076922,88.4,130.95,114.02753846153846,0.0423000000000044,0.1717999999999993,3592.0,4.895984536279181,0.3700800090665578,1
3c70c3,11887.2,11887.2,11887.2,272.3,272.62,272.5953846153846,0.0230999999999994,0.0411999999999999,286.0,-2.682211921587368,-1.1132441532400659,2
3c787a,11269.98,11277.6,11271.365454545456,226.84,227.91,227.455,0.068800000000003,0.1001000000000011,2884.0,-1.4778461907751141,-0.27294013099229875,2
3c79ba,10355.58,10363.2,10359.2376,284.65,285.23,285.0868,0.1537000000000006,0.0276000000000005,2867.0,-2.5670623846812415,-0.34320489855575426,2
3c79c1,10668.0,10675.62,10673.306785714289,255.97,256.15,256.0551785714286,0.0277000000000029,0.0434999999999945,2430.0,-1.9495469301505886,-0.46161406648725867,2
3c7a43,12092.94,12192.0,12179.6175,231.53,235.92,233.38875,0.1178000000000025,0.0905999999999949,2762.0,-1.9313504490919466,-0.30897185954133327,2
3c7a46,8968.74,9136.38,9029.569743589744,257.77,263.08,258.78333333333336,0.0726999999999975,0.2504999999999882,3592.0,-1.5346909165830283,-0.05251142957271994,2
3c7a4c,6850.38,6987.54,6905.534285714286,214.64,216.11,215.23428571428568,0.0446999999999988,0.0658999999999991,2793.0,0.32296831184496183,-0.21576066424214646,2
3c7a54,10706.1,10888.98,10770.87,243.04,244.77,243.72125,0.1478000000000001,0.0618000000000051,2762.0,-1.7087238558847653,-0.3007065858526137,2
4005b9,12192.0,12192.0,12192.0,232.55,232.55,232.55000000000007,0.0,0.0,192.0,-1.8079269287275468,-1.0934070473450268,2
4005ba,11582.4,11582.4,11582.4,236.42,236.42,236.42,0.0069000000000016,0.0216999999999956,1788.0,-1.7574876871152303,-0.6353448006875159,2
4005bd,10972.8,10972.8,10972.8,235.46,235.46,235.46,0.0,0.0,56.0,-1.453033855581754,-1.1165427208897933,2
4005c1,3497.58,3596.64,3563.1782608695635,153.72,154.59,153.97695652173917,0.0112999999999985,0.0259999999999962,1748.0,3.019476532975123,-0.37334699399640364,1
40066c,7117.08,7246.62,7185.348979591836,227.36,228.81,228.3648979591837,0.0268000000000014,0.0435999999999996,3254.0,-0.10150763248386419,-0.12123797345125628,2
400683,11582.4,11582.4,11582.399999999994,244.97,245.36,245.23462264150956,0.0712000000000045,0.0765999999999991,3342.0,-2.03639637189385,-0.18292895351111718,2
4006c0,3291.84,11277.6,3806.671724137931,166.92,260.17,177.07149425287358,1.410899999999998,11.5099,3237.0,0.7195766469392216,2.6378446706509426,0
4006c4,10972.8,10972.8,10972.8,239.74,239.74,239.73999999999992,0.0,0.0,268.0,-1.5660645060094078,-1.063964728326622,2
4006eb,10363.2,10363.2,10363.2,214.96,214.96,214.96,0.0,0.0,17.0,-0.7412581223574692,-1.0838456862455896,2
40072b,10066.02,10066.02,10066.02,260.31,260.83,260.4338095238095,0.0581999999999993,0.0003999999999999,2706.0,-1.8608215344266175,-0.3783263442660021,2
400771,10668.0,11277.6,10824.92673267327,245.82,257.04,248.930594059406,5.514800000000001,4.875299999999996,3206.0,-2.0707917528220543,2.3111199299206113,0
400773,213.36,11277.6,2691.4257534246576,87.61,272.09,129.6021917808219,3.228100000000005,6.062600000000003,3079.0,2.1067439425818786,2.6443361346721037,0
400775,6766.56,6934.2,6798.243157894737,215.59,215.59,215.59,0.0316999999999989,0.011499999999998,2671.0,0.3511661176548198,-0.263656832518544,2
4007f0,11209.02,11582.4,11483.052452830188,228.73,236.1,230.76188679245288,3.4640000000000057,7.091700000000003,3592.0,-1.7925142152274105,2.1343711630248423,0
4007f3,11887.2,11887.2,11887.200000000004,245.29,245.75,245.67,0.0033999999999991,0.0016999999999995,386.0,-2.0287050205578154,-1.053135804100443,2
4007f6,10668.0,10668.0,10668.0,264.53,264.8,264.57909090909084,0.0525000000000019,0.1912999999999982,2884.0,-2.177605497675014,-0.3165013816626068,2
4008ad,3749.04,3749.04,3749.04,139.74,139.74,139.74,0.0,0.0,17.0,3.3737530147712347,-0.8521970919148038,1
4008b1,9753.6,9753.6,9753.600000000002,205.09,205.77,205.124,0.0471999999999965,0.036,2847.0,-0.4127643044158993,-0.24024935758891158,2
400942,1607.82,2125.98,1962.4963636363632,114.88,122.01,116.04909090909092,0.0525999999999982,0.038,2884.0,4.42662889472704,0.07289366202169908,1
40097c,3352.8,3642.36,3548.1768,197.57,201.47,198.56080000000003,0.0168999999999996,0.1693,2867.0,1.8828606967207933,-0.09587610671473683,1
40097e,10965.18,10972.8,10967.25818181818,214.94,246.68,225.1240909090909,0.0682000000000044,0.0816000000000016,2884.0,-1.4249441377807526,-0.21740146009029623,2
4009c7,10652.76,10675.62,10667.3904,217.36,223.04,218.1848,0.0057000000000044,0.1914000000000015,2867.0,-1.0775402990571934,-0.2510558907863206,2
4009d8,68.58,9288.78,1153.1600000000003,71.51,252.97,91.82055555555556,1.556199999999997,7.9335,2867.0,3.156097052293357,2.3555479476266323,1
4009db,10957.56,10957.56,10957.56,234.99,236.35,235.35818181818172,0.0875000000000056,0.0569,2884.0,-1.568078164369936,-0.2819008470684412,2
4009f9,11574.78,11582.4,11580.02655737705,231.25,231.95,231.66475409836065,0.0344999999999942,0.0283999999999995,2659.0,-1.6757151617859727,-0.3711645053724037,2
