icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration,iforest_anomaly,iforest_score
aa739d,8214.36,8389.62,8299.43104477612,251.06,252.43,251.9113432835821,0.0607999999999968,0.0327000000000055,3306.0,0,-0.08155549145428964
aa739e,4122.42,4198.62,4144.997777777778,170.1,172.42,170.76444444444445,0.0142000000000024,0.0047999999999888,459.0,0,-0.04039502546064372
aa73a0,10668.0,10668.0,10668.0,227.87,227.87,227.87,0.0,0.0,74.0,0,-0.1169920345567807
aa73e9,7315.2,7315.2,7315.2,203.66,203.91,203.78464788732387,0.0465999999999979,0.0105999999999966,2111.0,0,-0.07631081679808271
aa7409,9075.42,11582.4,9916.668,216.51,225.47,218.5602222222222,5.136200000000002,4.949100000000001,3592.0,0,-0.00544529677972444
aa7426,10972.8,10972.8,10972.799999999996,224.33,224.85,224.4128,0.0019999999999953,0.1520999999999901,2867.0,0,-0.1289005498129958
aa7439,12192.0,12192.0,12192.0,246.69,247.15,246.7845454545454,0.0471000000000003,0.1186000000000007,2884.0,0,-0.059484352704985366
aa7468,3261.36,3718.56,3517.0533333333333,164.91,184.43,174.31844444444442,0.0037999999999982,0.0867999999999824,3254.0,0,-0.0245205392748018
aa7685,1897.38,12192.0,10535.01870967742,139.71,218.99,206.17,1.7485,6.10090000000001,2815.0,0,0.04946722829773187
aa76cb,9083.04,9159.24,9149.08,232.58,232.85,232.832,0.0031999999999996,0.0061000000000035,351.0,0,-0.10140525850139631
aa76ef,1668.78,1668.78,1668.7799999999995,120.03,120.03,120.03,0.0,0.0,299.0,0,-0.007324076732823148
aa7718,10058.4,10058.4,10058.4,243.81,243.81,243.81,0.0,0.0,17.0,0,-0.10991172910846314
aa7734,8808.72,9197.34,8982.456,221.45,226.18,222.562,0.0876999999999981,0.151299999999992,2867.0,0,-0.11124891967632755
aa7757,11582.4,11590.02,11586.754285714283,220.32,222.34,221.90714285714287,0.0144000000000019,0.2469999999999999,1165.0,0,-0.08559683460070822
aa777e,10454.64,11582.4,11397.780652173911,228.27,237.54,235.26869565217396,5.810699999999997,4.622699999999995,3592.0,0,-0.01554639743900521
aa779d,5958.84,11582.4,8647.314545454543,205.52,227.47,217.4136363636364,5.475099999999998,17.571200000000005,2884.0,0,0.0835101589353685
aa781f,10363.2,10363.2,10363.199999999995,220.27,221.45,221.19466101694928,0.0171999999999954,0.3449999999999988,3592.0,0,-0.1088861459866225
aa7833,4198.62,5013.96,4665.573600000001,197.01,201.41,200.3656,0.1052000000000035,0.0058999999999969,2867.0,0,-0.04565258460052124
aa78b2,1508.76,1508.76,1508.76,110.59,110.59,110.59,0.0,0.0,127.0,0,0.006094082807160173
aa797d,4975.86,5661.66,5096.492112676055,197.82,204.84,199.7316901408451,0.0197999999999964,0.1452000000000026,3306.0,0,-0.05674751404942746
aa79f6,1714.5,10668.0,3780.692307692308,145.27,255.25,170.64999999999998,1.1991999999999976,9.749700000000004,986.0,0,0.08259790750379115
aa7aa6,2133.6,2529.84,2439.785454545454,139.15,139.15,139.15000000000003,0.0249000000000023,0.0778999999999996,812.0,0,-0.015247544637596644
aa7ac8,12192.0,12192.0,12192.0,217.41,217.41,217.41,0.0,0.0,17.0,0,-0.014341467219225412
aa7aeb,11582.4,11582.4,11582.400000000003,233.29,233.56,233.308,0.0255000000000009,0.0518,812.0,0,-0.10387521805889666
aa7b10,4434.84,4785.36,4638.821538461537,184.41,184.54,184.47,0.0080999999999988,0.0374000000000052,1165.0,0,-0.04785469165961004
aa7b33,152.4,640.08,364.7209090909091,86.95,91.59,89.70272727272727,0.0284000000000013,0.0001000000000033,2884.0,0,0.05067789987960847
aa7c64,7574.28,8519.16,8309.355999999998,215.4,231.55,228.17666666666676,0.1683999999999983,0.1765000000000043,1217.0,0,-0.08910826833128654
aa7e16,11391.9,11582.4,11476.066363636362,240.71,243.31,241.8340909090909,0.0484000000000008,0.1053999999999888,2884.0,0,-0.11484201142780387
aa7e2e,10972.8,10972.8,10972.8,245.33,245.5,245.42714285714288,0.1171999999999968,0.0482999999999975,2762.0,0,-0.12421762351180443
aa7e36,6621.78,6918.96,6808.893333333334,216.74,221.9,219.91611111111112,0.0039999999999977,0.1410999999999944,2867.0,0,-0.08259662350680835
aa7e3a,6202.68,7391.4,6654.202352941178,199.03,212.62,203.844411764706,0.2358000000000046,0.0724000000000018,3592.0,0,-0.04958225471819122
aa7e56,9753.6,9753.6,9753.6,232.6,232.67,232.6527397260273,0.0060000000000002,0.0600000000000022,3079.0,0,-0.11882932016718095
aa7e7b,10972.8,10972.8,10972.799999999996,224.37,224.88,224.41434782608692,0.0127999999999985,0.1206999999999993,2743.0,0,-0.12665448163476506
aa7e7d,11277.6,11277.6,11277.600000000002,254.57,255.03,254.95454545454547,0.0106999999999999,0.1373999999999995,2884.0,0,-0.11093516091513816
aa7e9b,10058.4,10058.4,10058.4,244.64,244.64,244.63999999999987,0.0083999999999981,0.0792000000000001,3306.0,0,-0.12373264718566435
aa7ec3,7886.7,7985.76,7937.9064,224.02,227.02,225.31500000000008,0.0418999999999982,0.0890999999999877,3151.0,0,-0.09583588077850641
aa7f01,9753.6,9753.6,9753.600000000002,252.97,252.97,252.96999999999997,0.0,0.0,214.0,0,-0.09217224501767934
aa7f02,10058.4,10904.22,10270.744,240.33,248.58,242.014,1.287700000000001,5.182699999999997,374.0,0,-0.03134925300614466
aa7f06,9753.6,9753.6,9753.6,206.73,206.73,206.73,0.0,0.0,314.0,0,-0.07993047587957469
aa7f08,10050.78,10066.02,10059.52568181818,267.19,268.33,267.83329545454546,0.0619000000000014,0.0765999999999991,3254.0,0,-0.0795150850783714
aa7fa1,5425.44,5623.56,5555.242758620691,188.48,216.0,211.0312643678161,0.040700000000001,0.1387,3218.0,0,-0.06104423671585374
aa8075,1188.72,1203.96,1195.9512244897958,111.76,131.38,120.38153061224487,0.0493000000000023,0.0100999999999942,3151.0,0,-0.010161743976576487
aa80eb,5113.02,5120.64,5116.935833333333,197.96,200.22,199.6529166666667,0.0331000000000045,0.0306999999999959,2192.0,0,-0.05776419043787223
aa8114,10972.8,10972.8,10972.800000000005,253.48,253.92,253.7230769230769,0.0450000000000017,0.0986999999999937,3169.0,0,-0.11461139859249903
aa8164,4838.7,4838.7,4838.7,195.06,195.06,195.06,0.0,0.0,17.0,0,-0.046985325101500774
aa88d2,11582.4,11590.02,11589.62415584416,221.78,222.75,222.22207792207797,0.1518000000000015,0.1112999999999999,3592.0,0,-0.07920901075275022
aa8a83,441.96,548.64,520.8104347826085,90.67,92.65,92.1334782608696,0.0073999999999969,0.0032000000000067,604.0,0,0.0362182630888378
aa909a,2590.8,2590.8,2590.8,130.25,130.25,130.25,0.0,0.0,17.0,0,-0.004498385846057551
aa90a0,8534.4,8534.4,8534.399999999998,216.79,222.36,220.601875,0.0692999999999983,0.0585999999999984,3151.0,0,-0.1051146183520279
aa9136,11574.78,11590.02,11582.399999999998,232.53,233.29,232.6463636363636,0.0007999999999981,0.1263000000000005,2884.0,0,-0.11360111252117178
aa92f9,12192.0,12192.0,12192.0,231.6,232.84,232.37069767441855,0.157599999999995,0.3034999999999996,3592.0,0,-0.042818752420140604
aa92fa,3314.7,3322.32,3318.6805970149253,120.37,122.2,121.20149253731344,0.0020999999999986,0.0052999999999912,2122.0,0,-0.0042915608252921955
aa931d,1798.32,10668.0,5315.606896551724,147.02,271.21,196.253103448276,4.326799999999999,8.856200000000001,3592.0,0,0.09351383147947079
aa94aa,3863.34,4183.38,3927.348,182.0,192.4,182.7853333333333,0.1785000000000067,9.897599999999995,338.0,0,0.05827625015190552
aa974f,11277.6,11277.6,11277.6,242.28,242.28,242.28,0.0,0.0,279.0,0,-0.10944885707814983
aa9801,1905.0,1958.34,1930.908,149.83,150.14,149.98942857142856,0.0012000000000043,0.0080000000000097,894.0,0,-0.03208843139911449
aa9a7a,3291.84,4038.6,3866.270769230769,172.0,178.7,177.15384615384616,0.0769000000000019,0.0642999999999887,986.0,0,-0.013967660613923683
aa9ad9,11887.2,11887.2,11887.199999999995,233.91,234.2,234.1422413793104,0.0021999999999948,0.0104000000000041,2018.0,0,-0.0693020167306116
aa9afc,11887.2,11887.2,11887.199999999995,237.92,237.92,237.92,0.0101000000000013,0.0151000000000038,1748.0,0,-0.07192561008493936
aa9b82,3840.48,3870.96,3862.647272727272,154.1,161.53,158.5109090909091,0.0396,0.0656999999999925,2884.0,0,-0.050984214357913504
aa9bb7,10050.78,10058.4,10052.073962264154,231.45,232.32,231.98358490566036,0.0098000000000055,0.0533000000000001,3151.0,0,-0.12559940274015952
aa9ca8,4556.76,4556.76,4556.760000000001,113.84,113.93,113.85384615384612,0.0030000000000001,0.0228999999999928,286.0,0,0.034179349663609804
aa9eb3,11582.4,11582.4,11582.39999999999,225.59,227.18,226.60436974789909,0.0091999999999998,0.228500000000011,3592.0,0,-0.08561227115747372
aa9fbb,9753.6,9753.6,9753.6,227.62,228.13,227.92868421052643,0.0039000000000015,0.1165999999999911,3592.0,0,-0.102245280064167
aaa244,10058.4,10058.4,10058.4,243.31,244.52,243.93125,3.0741000000000014,6.474799999999988,2762.0,0,-0.05421177775642566
aaa247,3223.26,3276.6,3245.210149253732,171.83,177.68,174.58776119402987,0.0112000000000023,0.0099999999999909,2389.0,0,-0.03354041140885211
aaa267,9547.86,9585.96,9573.26,227.21,227.71,227.54333333333332,0.0033999999999991,0.0164000000000044,336.0,0,-0.09592537459185141
aaa26a,198.12,457.2,366.8485714285715,68.04,84.66,79.51184873949582,0.0150000000000005,0.0508999999999986,3592.0,0,0.07535774060051759
aaa2b0,4899.66,4899.66,4899.66,202.69,202.69,202.69,0.0,0.0,17.0,0,-0.044760296778050934
aaa2d3,5928.36,6202.68,6056.397464788732,193.57,196.85,195.11394366197177,0.0324999999999988,0.0417999999999949,2459.0,0,-0.06822486729197824
aaa2f6,11163.3,11879.58,11471.5925,235.24,238.02,236.36375,0.784799999999997,3.199799999999996,2762.0,0,-0.07076178624629775
aaa342,1676.4,1821.18,1748.7899999999995,93.18,95.24,94.62344827586206,0.022199999999998,0.0014000000000038,2658.0,0,0.010263294142826118
aaa590,3200.4,10668.0,3689.811818181818,181.92,253.68,186.32818181818175,0.8836000000000013,7.559300000000007,2884.0,0,0.0248618536848767
aaa593,11582.4,11582.4,11582.4,236.26,236.72,236.4256,0.0034999999999989,0.0015999999999962,566.0,0,-0.1030942547308224
aaa621,381.0,6096.0,3898.802307692308,68.42,200.16,138.45855769230772,1.9684000000000024,0.3607999999999975,3078.0,0,0.07172085866859124
aaa668,7345.68,7536.18,7457.925168539326,223.37,225.43,224.6660674157304,0.0609000000000037,0.0575999999999936,3289.0,0,-0.07584980642748407
aaa68a,1744.98,1752.6,1749.2133333333331,103.96,103.96,103.96,0.0005999999999986,0.0018000000000029,1033.0,0,0.003113507712876329
aaa6ae,10668.0,10668.0,10668.0,194.47,226.07,199.0264,0.0867000000000004,0.1521999999999934,2867.0,0,-0.1082794302234622
aaa86c,8221.98,8229.6,8226.703140495867,157.49,165.94,163.16785123966943,0.0929000000000002,0.2603000000000008,3592.0,0,-0.016506650229868247
aaa929,8343.9,8526.78,8394.808085106384,220.9,225.74,222.50999999999996,0.0210000000000007,0.0395999999999929,1769.0,0,-0.09955065513023581
aaa954,967.74,990.6,977.438181818182,115.76,116.37,116.01878787878788,0.0022999999999981,0.0041000000000082,2459.0,0,0.002332118441610742
aaa992,2400.3,6926.58,5975.908799999999,139.57,197.36,159.0356,2.1888999999999967,21.218000000000004,2867.0,0,0.12324245708615122
aaa9b6,7924.8,7924.8,7924.800000000004,181.4,182.01,181.78506493506492,0.0251000000000019,0.1646000000000071,3592.0,0,-0.03524734627998283
aaaa1e,4549.14,9883.14,9052.912777777776,172.94,257.0,245.80935185185183,0.6213999999999942,8.690600000000003,3592.0,0,0.031067483563038678
aaaa4a,975.36,1021.08,989.965,87.91,88.9,88.23149999999997,0.0018999999999991,0.0077999999999889,2018.0,0,0.024726032236085493
aaaa64,7612.38,7612.38,7612.38,218.24,220.09,219.0161038961039,0.0858999999999952,0.1415999999999968,3592.0,0,-0.06973639978543689
aaaaae,3947.16,3954.78,3951.379338842976,183.28,185.61,183.74644628099173,0.2490000000000023,0.0176000000000016,3592.0,0,8.165442314012061e-05
aaac21,2049.78,10972.8,2426.6525,118.16,242.26,124.13541666666669,3.0405999999999977,6.690600000000003,2848.0,0,0.08074636990264517
aaad49,11887.2,12496.8,12354.838356164386,235.89,241.79,237.28479452054785,0.6933999999999969,11.05680000000001,2413.0,0,0.03736042361923053
aaad6d,8648.7,8915.4,8754.770400000001,188.49,192.54,190.8528,0.0039999999999977,0.1200999999999936,2867.0,0,-0.06172575900659605
aaad8f,11277.6,11277.6,11277.6,260.51,260.51,260.51,0.0,0.0,55.0,0,-0.08013200123945807
aaadb2,662.94,662.94,662.9400000000003,105.08,106.4,105.1742857142857,0.0,0.0,268.0,0,0.015945874234368884
aaadf8,11277.6,11277.6,11277.600000000008,254.35,256.02,255.5745,0.2576000000000036,0.042900000000003,3206.0,0,-0.09066371753290059
aaae1b,3451.86,4785.36,3888.910961538461,152.85,170.51,155.9121153846154,0.1274000000000015,0.0578000000000002,3592.0,0,-0.013172445416425982
aaae4b,10972.8,10972.8,10972.8,248.2,249.35,248.46538461538452,0.035500000000006,0.1149000000000057,986.0,0,-0.11162554991679707
aaafd8,6751.32,7025.64,6843.395,206.95,218.17,211.90375000000003,0.0974000000000003,0.044399999999996,2762.0,0,-0.08698104089708913
aab09a,7856.22,9174.48,8714.870735294116,210.98,221.81,218.27161764705883,0.1679999999999992,0.1464999999999889,3592.0,0,-0.08876398940053454
aab0ba,7071.36,7383.78,7260.067058823529,213.82,219.28,217.5408823529412,0.0634999999999976,0.0682000000000044,1642.0,0,-0.07228622748603702
aab146,11887.2,11887.2,11887.200000000004,224.3,224.3,224.30000000000004,0.0044000000000004,0.0076999999999998,140.0,0,-0.04723398365918613
